OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
1,Irontown,C,564,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358,Utah,Iron,Cedar/Beaver,06-03-01,Escalante Desert,90,90,90,0,0,0,0,0,0,0,0,4.52,4.52,4.52,0,0,0,0,0,0,0,0,115.75,115.75,0,0,4538.50352952399,1241166.71290694
2,Mountain View SSD,C,533,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,378,378,378,0,0,0,0,0,0,0,0,57.23,57.23,57.23,0,0,0,0,0,0,0,0,96.85,96.85,0,0,3563.86713982579,748332.726916597
3,Brooklyn Tapline Co. Inc.,C,1027,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1352,Utah,Sevier,Sevier River,05-04-02,Richfield,521,521,297,224,0,0,0,0,0,0,0,90.47,90.47,51.55,38.92,0,0,0,0,0,0,0,0,0,0,0,7116.4383656486,256905.046485175
4,Sunset Park Water Co.,C,88,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292,Utah,Box Elder,Bear River,01-01-06,Tremonton,159,159,150,0,0,9,0,0,0,0,0,7.14,7.14,6.72,0,0,0.42,0,0,0,0,0,34.77,34.77,0,0,3282.12509149204,598327.663356926
5,"Fredonia, AZ",C,2152,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1433,Arizona,Coconino,Kanab Creek/Virgin River,10-02-02,Kanab Creek,184,184,116,15,51,2,0,0,0,0,0,274.9,274.9,173.7,22.45,76.04,2.7,0,0,0,0,0,641.61,278.43,363.18,0,27026.3700842124,28148850.6550739
6,Hildale - Colorado City,C,1527,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,67,67,57,7,1,2,0,0,0,0,0,410.82,410.82,349.39,41.56,4.97,14.91,0,0,0,0,0,927.73,883.73,44,0,59442.1811777457,70550024.2578004
7,Kane County WCD - Johnson Canyon,C,631,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869,Utah,Kane,Kanab Creek/Virgin River,10-02-01,Johnson Wash,114,114,114,0,0,0,0,0,0,0,0,89.48,89.48,89.48,0,0,0,0,0,0,0,0,847.41,847.41,0,0,70445.1467495441,34146634.7764144
8,Glen Canyon SSD #1 (Big Water),C,606,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1199,Utah,Kane,Southeast Colorado River,09-04-00,Wahweep Creek,278,278,182,9,30,56,0,0,0,0,0,147.74,147.74,96.86,4.79,16.15,29.95,0,0,0,0,0,686,686,0,0,24255.2115992592,24519114.2613565
9,Kanab City,C,608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176,Utah,Kane,Kanab Creek/Virgin River,10-02-02,Kanab Creek,294,246,132,35,79,0,48,48,0,0,0,1573.15,1315.28,704.66,188.05,421.95,0.62,257.87,257.87,0,0,0,3095.06,2982.07,112.99,0,53424.2820518746,64642670.8918932
10,Church Wells SSD,C,605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920,Utah,Kane,Southeast Colorado River,09-04-00,Wahweep Creek,314,314,267,48,0,0,0,0,0,0,0,31.66,31.66,26.87,4.79,0,0,0,0,0,0,0,221.94,221.94,0,0,8207.4750439356,4187009.11490657
11,Big Plains - Apple Valley,C,1574,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11014,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,196,196,196,0,0,0,0,0,0,0,0,92.82,92.82,92.82,0,0,0,0,0,0,0,0,544.76,544.76,0,0,7327.60105616093,2508943.56706981
12,Mexican Hat SSD (San Juan SSD #1),C,2065,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1123,Utah,San Juan,Southeast Colorado River,09-03-01,San Juan River,211,211,9,202,0,0,0,0,0,0,0,9.21,9.21,0.41,8.8,0,0,0,0,0,0,0,40.35,40.35,0,0,5012.52409024549,1001999.2535291
13,Santa Clara City,C,1536,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1207,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,223,192,170,4,18,0,31,4,0,28,0,1880.21,1617.05,1433,32.11,150.34,1.61,263.15,29.64,0,233.51,0,2142.74,2045.89,96.85,0,26995.3861961599,24661713.1951132
14,Rockville Pipeline Co.,C,1534,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1074,Utah,Washington,Kanab Creek/Virgin River,10-01-02,North Fork Virgin,673,132,131,0,1,0,541,529,0,12,0,186.1,36.4,36.18,0,0.22,0,149.7,146.4,0,3.3,0,113.36,82.69,30.67,0,43706.2420682331,34569417.9156428
