FID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
1,Irontown,C,564,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358,Utah,Iron,Cedar/Beaver,06-03-01,Escalante Desert,93,93,93,0,0,0,0,0,0,0,0,4.17,4.17,4.17,0,0,0,0,0,0,0,0,115.75,115.75,0,0,4538.50352952399,1241166.71290694
2,Mountain View SSD,C,533,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,424,424,424,0,0,0,0,0,0,0,0,66.44,66.44,66.44,0,0,0,0,0,0,0,0,96.85,96.85,0,0,3563.86713982579,748332.726916597
3,Brooklyn Tapline Co. Inc.,C,1027,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1352,Utah,Sevier,Sevier River,05-04-02,Richfield,598,598,313,285,0,0,0,0,0,0,0,97.11,97.11,50.82,46.29,0,0,0,0,0,0,0,0,0,0,0,7116.4383656486,256905.046485175
4,Sunset Park Water Co.,C,88,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292,Utah,Box Elder,Bear River,01-01-06,Tremonton,143,143,134,0,0,9,0,0,0,0,0,7.2,7.2,6.75,0,0,0.45,0,0,0,0,0,34.77,34.77,0,0,3282.12509149204,598327.663356926
5,"Fredonia, AZ",C,2152,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1433,Arizona,Coconino,Kanab Creek/Virgin River,10-02-02,Kanab Creek,383,383,316,15,48,3,0,0,0,0,0,572.24,572.24,472.94,22.03,72.19,5.09,0,0,0,0,0,641.61,278.43,363.18,0,27026.3700842124,28148850.6550739
6,Hildale - Colorado City,C,1527,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443,Utah,Washington,Kanab Creek/Virgin River,10-01-05,St. George,79,79,63,12,2,1,0,0,0,0,0,291.56,291.56,233.43,44.97,8.51,4.65,0,0,0,0,0,927.73,883.73,44,0,59442.1811777457,70550024.2578004
7,Kane County WCD - Johnson Canyon,C,631,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869,Utah,Kane,Kanab Creek/Virgin River,10-02-01,Johnson Wash,128,128,128,0,0,0,0,0,0,0,0,89.1,89.1,89.1,0,0,0,0,0,0,0,0,847.41,847.41,0,0,70445.1467495441,34146634.7764144
8,Glen Canyon SSD #1 (Big Water),C,606,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1199,Utah,Kane,Southeast Colorado River,09-04-00,Wahweep Creek,172,172,93,7,18,54,0,0,0,0,0,93.51,93.51,50.41,3.89,10.01,29.2,0,0,0,0,0,686,686,0,0,24255.2115992592,24519114.2613565
9,Kanab City,C,608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176,Utah,Kane,Kanab Creek/Virgin River,10-02-02,Kanab Creek,303,247,156,37,54,0,56,56,0,0,0,1566,1276.55,806.21,193.25,276.41,0.68,289.45,289.45,0,0,0,3095.06,2982.07,112.99,0,53424.2820518746,64642670.8918932
10,Church Wells SSD,C,605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920,Utah,Kane,Southeast Colorado River,09-04-00,Wahweep Creek,323,323,267,56,0,0,0,0,0,0,0,36.18,36.18,29.87,6.31,0,0,0,0,0,0,0,221.94,221.94,0,0,8207.4750439356,4187009.11490657
