OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,SHAPE_Length,SHAPE_Area
1,Irontown,C,564,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,66,66,66,0,0,0,0,4.1,4.1,4.1,0,0,0,0,115.8,115.8,0,0,5567.248025,656517.8179
2,Mountain View SSD,C,533,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,407,407,407,0,0,0,0,61.5,61.5,61.5,0,0,0,0,96.9,96.9,0,0,2818.216577,467752.9844
3,Sunset Park Water Co.,C,88,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292,Utah,Box Elder,Bear River,1/1/2006,Tremonton,133,133,127,0,0,6,0,7,7,6.7,0,0,0.3,0,34.8,34.8,0,0,2449.835459,333398.84
4,Hildale - Colorado City,C,1527,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,165,165,138,15,3,8,0,833,833,696.5,78.1,15.8,42.7,0,927.7,883.7,44,0,47400.81289,44923218.17
5,Glen Canyon SSD Of Big Water,C,606,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1199,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,285,285,176,18,47,44,0,158.1,158.1,97.6,9.9,26.3,24.3,0,686,686,0,0,15346.18318,4219266.839
6,Kanab City,C,608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,337,245,152,35,58,0,92,1789.5,1300.8,805.2,186.2,308.9,0.6,488.7,3095.1,2982.1,113,0,43668.36805,41350892.21
7,Church Wells SSD,C,605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,116,116,81,13,0,22,0,32,32,22.4,3.6,0,6,0,221.9,221.9,0,0,6538.014469,2656826.63
8,Mexican Hat SSD (San Juan SSD #1),C,2065,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1123,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,562,562,17,545,0,0,0,15.1,15.1,0.5,14.6,0,0,0,40.4,40.4,0,0,6688.689509,850762.7278
9,Santa Clara City,C,1536,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1207,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,194,174,155,5,15,0,20,1858,1668.2,1480.1,47.4,139.8,1,189.8,2142.7,2045.9,96.9,0,21224.09924,15752975.58
10,Rockville Pipeline Co.,C,1534,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1074,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,247,123,123,0,1,0,124,77.4,38.7,38.5,0,0.2,0,38.8,113.4,82.7,30.7,0,34804.15261,21762977.86
11,Springdale Town Water System,C,1537,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1342,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,1409,360,66,264,30,0,1049,978.7,250.1,45.7,183.5,21,0,728.6,590.7,0,92.7,498,19077.71615,11899440.01
12,Washington City,C,1541,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1254,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,261,200,162,31,7,0,62,8606.3,6575.9,5320.6,1016.9,230.4,8,2030.4,1525.4,1525.4,0,0,71945.25564,83980324.74
13,Ivins,C,1529,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1296,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,238,223,171,22,30,1,14,2101.1,1975.8,1509.3,195.5,261.8,9.2,125.3,393,393,0,0,26144.46132,16145204.54
14,Virgin,C,1540,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1171,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,720,178,122,31,25,0,542,524.1,129.4,88.8,22.5,18.1,0,394.7,0,0,0,0,29636.07988,30583435.48
15,Kayenta Water Users Inc.,C,1565,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1407,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,135,135,129,6,0,0,0,109.7,109.7,104.8,4.9,0,0,0,0,0,0,0,16349.83149,8398972.362
16,Hurricane City,C,1528,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1169,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,348,200,152,20,23,5,148,7393.4,4255.2,3234.6,424.2,495.9,100.4,3138.2,4481.7,2205.7,2276,0,100834.972,132041803.9
17,St. George City Water System,C,1535,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1133,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,300,237,177,38,18,4,63,31589.3,24945,18603,4036,1911,395,6644.3,11089.5,8618.5,2471,0,111997.1744,200190696.6
18,Winchester Hills Water Co.,C,1561,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1447,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,247,247,234,0,13,0,0,249.2,249.2,236.2,0,13,0,0,274.2,274.2,0,0,7566.958505,2343572.094
19,Angell Springs SSD,C,1579,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10875,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,189,113,113,0,0,0,76,48.6,29.1,29.1,0,0,0,19.5,129.4,90.8,38.6,0,6493.676275,1137650.595
20,Zion Canyon Water System,C,1562,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1047,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,362,57,11,32,13,0,305,1298.6,204.1,39.8,116,48.3,0,1094.5,507.6,0,507.6,0,18991.79785,3038628.417
21,Leeds Domestic Water Users Assoc.,C,1531,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1000,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,458,243,211,24,6,1,215,410.2,217.3,189.3,21.6,5.4,1.1,192.9,481.1,339,142.2,0,44637.58508,16296402.95
22,La Verkin City Water System,C,1530,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1028,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,420,107,86,11,9,0,313,2213.3,563,452,60.5,48.7,1.8,1650.2,714.3,0,714.3,0,34017.77046,35353694.62
23,Bluff Water Works Service District,C,912,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1308,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,267,267,115,150,2,0,0,86.7,86.7,37.2,48.7,0.7,0,0,164.6,164.6,0,0,11129.59563,2697091.884
24,Diamond Valley Acres,C,1570,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1421,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,208,208,182,0,25,0,0,293.4,293.4,257.5,0,35.8,0,0,581.1,581.1,0,0,14675.9345,4988359.986
25,Orderville Town Water System,C,610,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1025,Utah,Kane,Kanab Creek/Virgin River,10/1/2001,Long Valley,342,225,113,63,47,2,116,239.1,157.8,79.5,44.2,32.8,1.4,81.3,465.1,443.9,21.2,0,32958.66715,22569899.82
26,Toquerville Town Water System,C,1538,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1127,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,489,114,94,3,16,0,375,883.7,205.7,170.9,6.3,28.5,0,678,363.2,0,363.2,0,37696.63625,44701970.29
27,Gunlock SSD,C,1526,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1312,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,1202,872,814,0,52,6,330,138.6,100.6,93.9,0,6,0.7,38,103.9,72.6,31.2,0,6356.953378,1797491.802
28,Dammeron Valley Water Works LLC,C,1547,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1445,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,266,266,266,0,1,0,0,286.6,286.6,285.8,0,0.8,0,0,363.8,363.8,0,0,11967.06978,4499320.881
29,Glendale Town Water System,C,607,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1073,Utah,Kane,Kanab Creek/Virgin River,10/1/2001,Long Valley,433,300,286,9,5,1,132,187.5,130.3,124,3.8,2,0.5,57.3,134.4,108.6,25.8,0,34548.32812,18121416.14
30,Veyo Culinary Water Association,C,1539,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1206,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,482,303,231,16,29,28,179,410.4,258,196.2,13.8,24.4,23.6,152.4,276,78.4,197.6,0,21492.12955,9494861.405
31,Pine Valley Mt. Farms,C,1566,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1425,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,541,541,539,0,1,0,0,121.2,121.2,120.8,0,0.3,0,0,185.2,185.2,0,0,5063.628943,1207000.33
32,Pine Valley Irrigation Co.,C,1542,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1219,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,826,751,706,11,34,0,75,212.9,193.6,181.8,3,8.8,0,19.4,843.4,28.3,815.1,0,17030.74692,5555667.7
33,Central Culinary Water Co.,C,1523,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11277,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,1149,454,454,0,0,0,694,64.3,25.5,25.5,0,0,0,38.9,35.5,25.8,9.7,0,5250.205216,457956.0535
34,Alton Town Water System,C,604,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1307,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,1253,95,92,0,4,0,1157,182.4,13.9,13.4,0,0.5,0,168.5,24.2,0,24.2,0,17221.37694,6011934.01
35,Dixie Deer SSD,C,1524,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1262,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,158,158,151,0,7,0,0,79.5,79.5,76.1,0,3.3,0,0,219.3,219.3,0,0,11327.80588,2839909.734
36,Glen Canyon N.R.A. - Halls Crossing Marina,C,2265,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1323,Utah,San Juan,West Colorado River,9/3/2002,Lake Powell,121,121,66,0,55,0,0,19,19,10.3,0,8.7,0,0,211.5,211.5,0,0,10259.54493,6394362.895
37,Harmony Heights Water Co.,C,1586,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11333,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,229,150,150,0,0,0,79,43.7,28.6,28.6,0,0,0,15.1,84.5,84.5,0,0,7722.698945,2167789.567
38,Harmony Farms Water Users,C,1584,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1452,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,216,216,209,6,0,0,0,101.4,101.4,98.4,2.9,0.1,0,0,144.4,144.4,0,0,11649.9138,2536791.645
39,New Harmony Water System,C,1532,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1085,Utah,Washington,Kanab Creek/Virgin River,10/1/2003,Laverkin,873,324,303,0,21,0,549,205.5,76.3,71.3,0,4.9,0,129.2,835,807.1,27.9,0,8401.278094,1565376.367
