OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
1,Irontown,C,564,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11358,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,138,138,138,0,0,0,0,7,7,7,0,0,0,0,115.8,115.8,0,0,2019,Lower Colorado River North,5567.248025,656517.8179
2,Mountain View SSD,C,533,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11169,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,330,330,330,0,0,0,0,61.1,61.1,61.1,0,0,0,0,96.9,96.9,0,0,2019,Lower Colorado River North,2818.216577,467752.9844
3,Sunset Park Water Co.,C,88,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11292,Utah,Box Elder,Bear River,1/1/2006,Tremonton,126,126,119,0,0,7,0,7.8,7.8,7.3,0,0,0.5,0,34.8,34.8,0,0,2019,Bear River,2449.835459,333398.84
4,Hildale - Colorado City,C,1527,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1443,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,335,325,193,19,16,97,10,1140.7,1106.8,658.3,64.6,53.9,330,33.9,927.7,883.7,44,0,2019,Lower Colorado River South,47400.81289,44923218.17
5,Kane County WCD - Johnson Canyon,C,631,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10869,Utah,Kane,Kanab Creek/Virgin River,10/2/2001,Johnson Wash,134,134,134,0,0,0,0,89.3,89.3,89.3,0,0,0,0,0,0,0,0,2019,Lower Colorado River South,78816.65818,27676834.26
6,Glen Canyon SSD Of Big Water,C,606,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1199,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,259,259,160,20,20,59,0,144.5,144.5,89.7,11,11.1,32.8,0,686,686,0,0,2019,Lower Colorado River South,15346.18318,4219266.839
7,Kanab City,C,608,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1176,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,330,229,149,27,53,0,101,1782.1,1238.9,806,147.7,284.7,0.5,543.2,3095.1,2982.1,113,0,2019,Lower Colorado River South,43668.36805,41350892.21
8,Church Wells SSD,C,605,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1920,Utah,Kane,Southeast Colorado River,9/4/2000,Wahweep Creek,120,120,89,15,0,16,0,31.5,31.5,23.3,3.9,0,4.3,0,221.9,221.9,0,0,2019,Lower Colorado River South,6538.014469,2656826.63
9,Big Plains - Apple Valley,C,1574,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10986,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,151,151,137,5,9,0,0,76.3,76.3,69.2,2.3,4.8,0,0,0,0,0,0,2019,Lower Colorado River South,5835.643676,1593045.149
10,Mexican Hat SSD (San Juan SSD #1),C,2065,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1123,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,555,555,12,541,1,0,0,15.5,15.5,0.4,15.2,0,0,0,40.4,40.4,0,0,2019,Upper Colorado River,6688.689509,850762.7278
11,Santa Clara City,C,1536,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1207,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,196,177,154,6,18,0,19,1879.8,1699,1471.2,54.3,172,1.4,180.9,2142.7,2045.9,96.9,0,2019,Lower Colorado River South,21224.09924,15752975.58
12,Rockville Pipeline Co.,C,1534,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1074,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,784,104,103,0,1,0,680,254.6,33.7,33.5,0,0.2,0,220.9,113.4,82.7,30.7,0,2019,Lower Colorado River South,34804.15261,21762977.86
