"","FID","WRENAME","SYSTEMTYPE","WATERRESID","WRLINK","STATE","COUNTY","BASIN","SUBAREA","SUBAREANAM","TotalGPCD","TotPotaGPCD","ResPotGPCD","ComPotGPCD","InsPotGPCD","IndPotGPCD","TotSecGPCD","ResSecGPCD","ComSecGPCD","InsSecGPCD","IndSecGPCD","TotalUse","TotPotaUse","ResPotaUse","ComPotaUse","InsPotaUse","IndPotaUse","TotSecoUse","ResSecoUse","ComSecoUse","InsSecoUse","IndSecoUse","TotalSup","WellsSup","SpringsSup","SurfaceSup","SHAPE_Length","SHAPE_Area","year","Population","TotGPCDBin","Row","NameUse","Blank"
"1",215,"Marion Waterworks Co.","C",1077,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1270","Utah","Summit","Weber River","2/1/2002","Kamas Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8,80.7,47.1,0,13676.69053,10502904.55,2018,NA,NA,1,"",""
"2",267,"Greendale Water Co.","C",232,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1344","Utah","Daggett","Uintah","7/1/2005","Flaming Gorge Reservoir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,0,24.1,47.2,12790.54615,8746664.546,2018,NA,NA,2,"",""
"3",430,"Maple Lake Academy","C",2527,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11348","Utah","Utah","Utah Lake","4/1/2010","Utah Valley",2,2,2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.8,0.8,0,0,170.8336254,1819.51345,2018,44.6371232876712,"1",3,"",""
"4",453,"Pinion Forest SSD","C",2623,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11324","Utah","Duchesne","Uintah","7/3/2004","Starvation Reservoir",13,13,13,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,64.5,64.5,0,0,105860.4291,419893948.8,2018,137.344994731296,"1",4,"",""
"5",422,"Deseret Land and Livestock","C",2529,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11281","Utah","Rich","Bear River","1/3/2002","Randolph",25,25,23,0,2,0,0,0,0,0,0,0.6,0.6,0.5,0,0,0,0,0,0,0,0,39.7,39.7,0,0,3287.464042,514650.112,2018,21.4258191780822,"1",5,"",""
"6",398,"Whispering Pines Water Co.","C",2419,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11072","Utah","Sanpete","Sevier River","5/1/2000","Gunnison",28,28,28,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,70.8,70.8,0,0,9452.116063,5018873.978,2018,255.06927592955,"1",6,"",""
"7",391,"Kane County WCD - Duck Creek Village","C",2446,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11401","Utah","Kane","Sevier River","5/6/2001","Navajo Lake",33,33,30,4,0,0,0,0,0,0,0,89.2,89.2,79.7,9.4,0,0,0,0,0,0,0,877.6,877.6,0,0,41545.00365,15483223.32,2018,2413.1099377335,"1",7,"",""
"8",426,"North Village S.S.D.","C",2511,"http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11078","Utah","Wasatch","Utah Lake","4/1/2007","Provo River Reservoirs",42,37,36,1,0,0,5,0,0,0,0,58.7,51.3,50.1,1,0.3,0,7.4,0,0,0,0,0,0,0,0,20444.24622,15342235.02,2018,1247.71387475538,"1",8,"",""
"9",445,"Aspen Cove","C",223,"https://waterlink.utah.gov/deqWater/reports.html?systemId=50","Utah","Carbon","West Colorado River","8/1/2001","Scofield",47,47,47,0,0,0,0,0,0,0,0,6.9,6.9,6.9,0,0,0,0,0,0,0,0,10.9,10.9,0,0,6923.106848,2228838.808,2018,131.062191780822,"1",9,"",""
"10",48,"Cedar Highlands Subdivision (CICWCD)","C",537,"https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11404","Utah","Iron","Cedar/Beaver","6/2/2002","Cedar",51,51,51,0,0,0,0,0,0,0,0,9.4,9.4,9.3,0,0.1,0,0,0,0,0,0,95.2,56.5,38.7,0,5205.207824,1092436.483,2018,164.544689766317,"1",10,"Cedar Highlands Subdivision (CICWCD)",""
